run_name,config,backbone,freeze_backbone,pretrained,train_fraction,condition,adapter,probe_comparable,arm,window,arm_n_fine_source
ls_dino3dVA_frz_pt_f001,configs/lowshot/ls_dino3dVA_frz_pt_f001.yaml,dino3d_vitadapter,True,True,0.01,frz_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_pt_f005,configs/lowshot/ls_dino3dVA_frz_pt_f005.yaml,dino3d_vitadapter,True,True,0.05,frz_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_pt_f010,configs/lowshot/ls_dino3dVA_frz_pt_f010.yaml,dino3d_vitadapter,True,True,0.1,frz_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_pt_f025,configs/lowshot/ls_dino3dVA_frz_pt_f025.yaml,dino3d_vitadapter,True,True,0.25,frz_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_pt_f100,configs/lowshot/ls_dino3dVA_frz_pt_f100.yaml,dino3d_vitadapter,True,True,1.0,frz_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_sc_f001,configs/lowshot/ls_dino3dVA_frz_sc_f001.yaml,dino3d_vitadapter,True,False,0.01,frz_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_sc_f005,configs/lowshot/ls_dino3dVA_frz_sc_f005.yaml,dino3d_vitadapter,True,False,0.05,frz_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_sc_f010,configs/lowshot/ls_dino3dVA_frz_sc_f010.yaml,dino3d_vitadapter,True,False,0.1,frz_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_sc_f025,configs/lowshot/ls_dino3dVA_frz_sc_f025.yaml,dino3d_vitadapter,True,False,0.25,frz_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_frz_sc_f100,configs/lowshot/ls_dino3dVA_frz_sc_f100.yaml,dino3d_vitadapter,True,False,1.0,frz_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_pt_f001,configs/lowshot/ls_dino3dVA_ft_pt_f001.yaml,dino3d_vitadapter,False,True,0.01,ft_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_pt_f005,configs/lowshot/ls_dino3dVA_ft_pt_f005.yaml,dino3d_vitadapter,False,True,0.05,ft_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_pt_f010,configs/lowshot/ls_dino3dVA_ft_pt_f010.yaml,dino3d_vitadapter,False,True,0.1,ft_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_pt_f025,configs/lowshot/ls_dino3dVA_ft_pt_f025.yaml,dino3d_vitadapter,False,True,0.25,ft_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_pt_f100,configs/lowshot/ls_dino3dVA_ft_pt_f100.yaml,dino3d_vitadapter,False,True,1.0,ft_pt,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_sc_f001,configs/lowshot/ls_dino3dVA_ft_sc_f001.yaml,dino3d_vitadapter,False,False,0.01,ft_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_sc_f005,configs/lowshot/ls_dino3dVA_ft_sc_f005.yaml,dino3d_vitadapter,False,False,0.05,ft_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_sc_f010,configs/lowshot/ls_dino3dVA_ft_sc_f010.yaml,dino3d_vitadapter,False,False,0.1,ft_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_sc_f025,configs/lowshot/ls_dino3dVA_ft_sc_f025.yaml,dino3d_vitadapter,False,False,0.25,ft_sc,vit_adapter,False,B,native,spm_fused
ls_dino3dVA_ft_sc_f100,configs/lowshot/ls_dino3dVA_ft_sc_f100.yaml,dino3d_vitadapter,False,False,1.0,ft_sc,vit_adapter,False,B,native,spm_fused
ls_ctfmS_frz_pt_f001,configs/lowshot/ls_ctfmS_frz_pt_f001.yaml,ctfm,True,True,0.01,frz_pt,native+stem,False,S,native,pretrained
ls_ctfmS_frz_pt_f005,configs/lowshot/ls_ctfmS_frz_pt_f005.yaml,ctfm,True,True,0.05,frz_pt,native+stem,False,S,native,pretrained
ls_ctfmS_frz_pt_f010,configs/lowshot/ls_ctfmS_frz_pt_f010.yaml,ctfm,True,True,0.1,frz_pt,native+stem,False,S,native,pretrained
ls_ctfmS_frz_pt_f025,configs/lowshot/ls_ctfmS_frz_pt_f025.yaml,ctfm,True,True,0.25,frz_pt,native+stem,False,S,native,pretrained
ls_ctfmS_frz_pt_f100,configs/lowshot/ls_ctfmS_frz_pt_f100.yaml,ctfm,True,True,1.0,frz_pt,native+stem,False,S,native,pretrained
ls_ctfmS_frz_sc_f001,configs/lowshot/ls_ctfmS_frz_sc_f001.yaml,ctfm,True,False,0.01,frz_sc,native+stem,False,S,native,pretrained
ls_ctfmS_frz_sc_f005,configs/lowshot/ls_ctfmS_frz_sc_f005.yaml,ctfm,True,False,0.05,frz_sc,native+stem,False,S,native,pretrained
ls_ctfmS_frz_sc_f010,configs/lowshot/ls_ctfmS_frz_sc_f010.yaml,ctfm,True,False,0.1,frz_sc,native+stem,False,S,native,pretrained
ls_ctfmS_frz_sc_f025,configs/lowshot/ls_ctfmS_frz_sc_f025.yaml,ctfm,True,False,0.25,frz_sc,native+stem,False,S,native,pretrained
ls_ctfmS_frz_sc_f100,configs/lowshot/ls_ctfmS_frz_sc_f100.yaml,ctfm,True,False,1.0,frz_sc,native+stem,False,S,native,pretrained
ls_ctfmS_ft_pt_f001,configs/lowshot/ls_ctfmS_ft_pt_f001.yaml,ctfm,False,True,0.01,ft_pt,native+stem,False,S,native,pretrained
ls_ctfmS_ft_pt_f005,configs/lowshot/ls_ctfmS_ft_pt_f005.yaml,ctfm,False,True,0.05,ft_pt,native+stem,False,S,native,pretrained
ls_ctfmS_ft_pt_f010,configs/lowshot/ls_ctfmS_ft_pt_f010.yaml,ctfm,False,True,0.1,ft_pt,native+stem,False,S,native,pretrained
ls_ctfmS_ft_pt_f025,configs/lowshot/ls_ctfmS_ft_pt_f025.yaml,ctfm,False,True,0.25,ft_pt,native+stem,False,S,native,pretrained
ls_ctfmS_ft_pt_f100,configs/lowshot/ls_ctfmS_ft_pt_f100.yaml,ctfm,False,True,1.0,ft_pt,native+stem,False,S,native,pretrained
ls_ctfmS_ft_sc_f001,configs/lowshot/ls_ctfmS_ft_sc_f001.yaml,ctfm,False,False,0.01,ft_sc,native+stem,False,S,native,pretrained
ls_ctfmS_ft_sc_f005,configs/lowshot/ls_ctfmS_ft_sc_f005.yaml,ctfm,False,False,0.05,ft_sc,native+stem,False,S,native,pretrained
ls_ctfmS_ft_sc_f010,configs/lowshot/ls_ctfmS_ft_sc_f010.yaml,ctfm,False,False,0.1,ft_sc,native+stem,False,S,native,pretrained
ls_ctfmS_ft_sc_f025,configs/lowshot/ls_ctfmS_ft_sc_f025.yaml,ctfm,False,False,0.25,ft_sc,native+stem,False,S,native,pretrained
ls_ctfmS_ft_sc_f100,configs/lowshot/ls_ctfmS_ft_sc_f100.yaml,ctfm,False,False,1.0,ft_sc,native+stem,False,S,native,pretrained
ls_vista3dS_frz_pt_f001,configs/lowshot/ls_vista3dS_frz_pt_f001.yaml,vista3d,True,True,0.01,frz_pt,native+stem,False,S,native,pretrained
ls_vista3dS_frz_pt_f005,configs/lowshot/ls_vista3dS_frz_pt_f005.yaml,vista3d,True,True,0.05,frz_pt,native+stem,False,S,native,pretrained
ls_vista3dS_frz_pt_f010,configs/lowshot/ls_vista3dS_frz_pt_f010.yaml,vista3d,True,True,0.1,frz_pt,native+stem,False,S,native,pretrained
ls_vista3dS_frz_pt_f025,configs/lowshot/ls_vista3dS_frz_pt_f025.yaml,vista3d,True,True,0.25,frz_pt,native+stem,False,S,native,pretrained
ls_vista3dS_frz_pt_f100,configs/lowshot/ls_vista3dS_frz_pt_f100.yaml,vista3d,True,True,1.0,frz_pt,native+stem,False,S,native,pretrained
ls_vista3dS_frz_sc_f001,configs/lowshot/ls_vista3dS_frz_sc_f001.yaml,vista3d,True,False,0.01,frz_sc,native+stem,False,S,native,pretrained
ls_vista3dS_frz_sc_f005,configs/lowshot/ls_vista3dS_frz_sc_f005.yaml,vista3d,True,False,0.05,frz_sc,native+stem,False,S,native,pretrained
ls_vista3dS_frz_sc_f010,configs/lowshot/ls_vista3dS_frz_sc_f010.yaml,vista3d,True,False,0.1,frz_sc,native+stem,False,S,native,pretrained
ls_vista3dS_frz_sc_f025,configs/lowshot/ls_vista3dS_frz_sc_f025.yaml,vista3d,True,False,0.25,frz_sc,native+stem,False,S,native,pretrained
ls_vista3dS_frz_sc_f100,configs/lowshot/ls_vista3dS_frz_sc_f100.yaml,vista3d,True,False,1.0,frz_sc,native+stem,False,S,native,pretrained
ls_vista3dS_ft_pt_f001,configs/lowshot/ls_vista3dS_ft_pt_f001.yaml,vista3d,False,True,0.01,ft_pt,native+stem,False,S,native,pretrained
ls_vista3dS_ft_pt_f005,configs/lowshot/ls_vista3dS_ft_pt_f005.yaml,vista3d,False,True,0.05,ft_pt,native+stem,False,S,native,pretrained
ls_vista3dS_ft_pt_f010,configs/lowshot/ls_vista3dS_ft_pt_f010.yaml,vista3d,False,True,0.1,ft_pt,native+stem,False,S,native,pretrained
ls_vista3dS_ft_pt_f025,configs/lowshot/ls_vista3dS_ft_pt_f025.yaml,vista3d,False,True,0.25,ft_pt,native+stem,False,S,native,pretrained
ls_vista3dS_ft_pt_f100,configs/lowshot/ls_vista3dS_ft_pt_f100.yaml,vista3d,False,True,1.0,ft_pt,native+stem,False,S,native,pretrained
ls_vista3dS_ft_sc_f001,configs/lowshot/ls_vista3dS_ft_sc_f001.yaml,vista3d,False,False,0.01,ft_sc,native+stem,False,S,native,pretrained
ls_vista3dS_ft_sc_f005,configs/lowshot/ls_vista3dS_ft_sc_f005.yaml,vista3d,False,False,0.05,ft_sc,native+stem,False,S,native,pretrained
ls_vista3dS_ft_sc_f010,configs/lowshot/ls_vista3dS_ft_sc_f010.yaml,vista3d,False,False,0.1,ft_sc,native+stem,False,S,native,pretrained
ls_vista3dS_ft_sc_f025,configs/lowshot/ls_vista3dS_ft_sc_f025.yaml,vista3d,False,False,0.25,ft_sc,native+stem,False,S,native,pretrained
ls_vista3dS_ft_sc_f100,configs/lowshot/ls_vista3dS_ft_sc_f100.yaml,vista3d,False,False,1.0,ft_sc,native+stem,False,S,native,pretrained
ls_biomedparseS_frz_pt_f001,configs/lowshot/ls_biomedparseS_frz_pt_f001.yaml,biomedparse,True,True,0.01,frz_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_pt_f005,configs/lowshot/ls_biomedparseS_frz_pt_f005.yaml,biomedparse,True,True,0.05,frz_pt,native+stem,False,S,native,fresh_stem_s0s1
ls_biomedparseS_frz_pt_f010,configs/lowshot/ls_biomedparseS_frz_pt_f010.yaml,biomedparse,True,True,0.1,frz_pt,native+stem,False,S,native,fresh_stem_s0s1
